#ID;English;Français;
TX_LSTATE;Lysdenlis State;État Lysdenlis;
TX_STEP0;Moving : <line> <line> The game is playable with the mouse only but there are advanced commands: <line> <line> QWERTY : <line> WASD : Forward / Left / Behind / Right <line> QE : Up / Down <line> <line> AZERTY : <line> ZQSD: Forward / Left / Behind / Right <line> AE : Up / Down <line> <line> Directional Arrows : Rotate camera.;Se déplacer : <line> <line> Le jeu est jouable avec seulement la souris mais dispose de commande avancée : <line> <line> QWERTY : <line> WASD : Devant / Gauche / Derrière / Droite <line> QE : Haut / Bas <line> <line> AZERTY : <line> ZQSD: Devant / Gauche / Derrière / Droite <line> AE : Haut / Bas <line> <line> Flèches Directionnelles : Faire tourner la caméra;Déplacer une unité : \n Vous possédé une unité sur la planète verte 'Gaea'. Votre unité est de la même couleur que la première couleur de votre drapeau. Pour la déplacer, sélectionné-la avec un clic gauche, puis un clic droit sur la destination. Déplacez-vous sur la planète rouge 'Atadal'.
TX_STEP1;Moving an Army: <line> <line> You own an army on the green planet 'Gaea'. Your army is symbolised by a pyramid with as color the first color of your flag. To move it, select it by a left click, then do a right click to the destination. Move to the red planet 'Atadal'.;Déplacer une armée : <line> <line> Vous possédé une armée sur la planète verte 'Gaea'. Votre armée est symbolisée par une pyramide de la même couleur que la première couleur de votre drapeau. Pour la déplacer, sélectionné-la avec un clic gauche, puis un clic droit sur la destination. Déplacez-vous sur la planète rouge 'Atadal'.;
TX_STEP2;Going to a Planet: <line> <line> Now, let's go to 'Atadal'. Do a left click on the planet to show the planet menu, then click on the button to go to the surface.;Aller sur une planète : <line> <line> À présent, allons sur 'Atadal'. Pour cela, faites un clic gauche sur la planète pour afficher le menu de la planète, puis cliquer sur le bouton pour aller à sa surface.;
TX_STEP3;Claiming a Planet : <line> <line> Now, as you have an army on 'Atadal' you can claim it. Let's build some road and platforms to place our 'City Hall'. Don't forget to select a building model before placing a building.;Revendiquer une planète : <line> <line> Maintenant que vous avez une armée sur la planète 'Atadal', vous pouvez la revendiquer. Pour cela, vous pouvez construire des routes et des plate-formes afin de pouvoir positionner un 'Hôtel de Ville'. N'oubliez pas avant de construire l’Hôtel de Ville de sélectionner un bâtiment dans la liste des bâtiments.;
TX_STEP4;Buy resources to the Market : <line> <line> Before creating your city, it's safer to do resources stocks to satisfy buildings needs. To buy 1000 resources units, open the market, choose a resource and then buy click on buy. <line> Warning, if you're in deficit for a resource, the city will automatically buy some of it, but with a higher price.;Acheter des ressources au Marché : <line> <line> Avant de construire une ville, il vous ait conseillé de faire des stocks de ressources afin de pouvoir répondre au besoin des bâtiments dès lors construction. Pour acheter 1000 unités de ressource, ouvrez le marché, cliquer sur une ressource puis sur le bouton acheter. <line> Attention, si vous avez un déficit pour une ressource, la ville en achètera automatiquement ,mais avec prix plus élevé.;
TX_STEP5;Creating a profitable city : <line> <line> A city is consider profitable when it produce incomes and when the resource production is higher than the resource consumption.  You must build 'Habitations', 'Power Plants', 'Dioxygen Generators', 'Water Pumping Stations', Greenhouses', 'Exploitations', 'Factories' and 'Derricks'. When your city will be profitable, you will get incomes and resource indicators will turn green. More a building is long, large and high, more it will product and consume resources. Don't forget to choose a game speed. Moreover, the resource quantity of a planet will affect the efficiency of 'Dioxygen Generators', 'Water Pumping Stations', 'Greenhouses', 'Exploitations', and of 'Derricks', and those will use the resource quantity.;Créer une Ville rentable : <line> <line> Une ville est considéré comme rentable lorsqu'elle crée des revenus et lorsque sa production de ressource est supérieure à sa consommation de ressource. Pour cela, vous devez construire des 'Habitations', des 'Centrales Électrique', des 'Générateurs de Dioxygène', des 'Stations de Pompage', des 'Serres', des 'Exploitations', des 'Usines' et des 'Derricks'. Lorsque votre ville sera rentable, vous aurez des revenus et les ressources seront indiquées en vert.Plus un bâtiment est grand en largeur, longueur et hauteur, plus il produira et consommera des ressources. N'oubliez pas d'enlever la pause et de choisir une vitesse de jeu. Mais encore, la quantité de ressource d'une planète affecte l'efficacité des 'Générateurs de Dioxygène', des 'Stations de Pompage', des 'Serres', des 'Exploitations', et des 'Derricks', et ces bâtiments y puissent.;
TX_STEP6;Producing Technology Points: <line> <line> Now, let's produce technology points. You must build 'Laboratories'. More a laboratories is long, large and high, more it produces technology points.;Produire des points de Technologie : <line> <line> À présent, produisons des points de Technologie. Pour cela vous devez construire des 'Laboratoires'. Plus un laboratoire est grand en largeur, longueur et hauteur, plus il en produira.;
TX_STEP7;Creating Scientists : <line> <line> If we want to search technologies, we will need some scientists. If you open the 'Unit Formation' window, you will see that you have no scientist production points. To have scientist production points, you must build 'University'. You must have at least 100 points to produce a scientist. When you have them, open the unit formation window, choose a scientist and click on 'Create'.;Créer des Scientifiques : <line> <line> Si on veut rechercher des technologies, il nous faudra également des scientifiques. Si vous ouvrez la fenêtre de 'Formation d'Unité', vous verrez que vous ne possédez aucun 'Point de Production de Scientifique'. Pour en avoir, il faudra construire des 'Université'. Il vous en faut 100 pour produire un scientifique. Lorsque vous les aurez, ré-ouvrez la fenêtre et choisissez le scientifique de votre choix, puis cliquer sur 'Créer'.;
TX_STEP8;Searching a Technology: <line> <line> Now you have some technology points and a scientist. To search a technology, open the technology window, choose a technology which type is the same as your scientist.;Rechercher une Technologie : <line> <line> Maintenant que vous avez des points de technologie et un scientifique, vous pouvez rechercher une technologie. Pour cela, ouvrez le menu de technologie et choisissez une technologie. Vous ne pouvez rechercher que des technologies en fonction du type et du nombre de vos scientifiques.;
TX_STEP9;Creating Units: <line> <line> Now, let's create some military units. The principle is the same as scientists but the buildings to have the production points are different. For divisions (Militia, Infantry, Garrison, D.A.S.S), we need 'Barracks'. For spaceships, we need 'Spatioports'. And for the nuclear units, we need 'Nuclear Fusion Reactors'. There are 3 unit types : Organic, A.I and Nuclear. You can fusion Organic and Nuclear, and A.I and Nuclear.;Créer des Unités : <line> <line> Nous avons créé des scientifiques, mais maintenant créons des unités militaires. Le principe est le même pour les scientifiques, mais les bâtiments pour les points de production sont différents. Pour les divisions (Milice, Infanterie, Garnison, D.A.V.S), il faut des 'Casernes'. Pour les vaisseaux spatiaux, il faut des 'Spatioport'. Et pour les unités nucléaires, il faut des 'Réacteurs à Fusion Nucléaire'. Il y a 3 types d'unités : Organique, I.A et Nucléaire. Vous pouvez fusionner Organique et Nucléaire, et I.A et Nucléaire.;
TX_STEP10;Organizing Armies: <line> <line> Now, let's quit the planet. You will see on your planet few pyramids representing units groups. To begin, let's merge them. Select an army with a left click, hold 'Shift' and then do a left click on the other armies and then click on 'Merge'. To fill the fuel tank, the army's planet must provide 5 000 hydrocarbon units. Each time you fill the fuel tank, the level increases by 10. When you move an army to another planet, each unit cost a fuel level.;Organiser les Armées : <line> <line> Maintenant, quittons la planète. Vous verrez sur votre planète plusieurs pyramides représentant des groupes d'armées. Pour commencer, fusionnons les en une seule armée. Pour cela, sélectionner une armée avec un clic gauche puis pour sélectionner les autres armées simultanément, maintenez la touche 'Shift' et faites un clic gauche sur les autres  armées puis fusionner-les avec le bouton pour les fusionner. Pour remplir le réservoir, il faut avoir sur la planète 5 000 unités d'hydrocarbures. Chaque fois que vous le remplissez, le niveau augmente de 10. Lorsque vous vous déplacez sur une autre planète, chaque unité coûte un niveau de réservoir.;
TX_STEP11;Going to War : <line> <line> Now, we have an army, we can try to take the planet 'Gaea'. Firstly, we need to declare war. To do it, open the diplomatic window, click on declare the war. Then move your army on 'Gaea' to start the battle. Each turn, you will see the kills on the enemy color and the loses on your color. When you beat the army, the planet will become yours.;Faire la Guerre : <line> <line> À présent que nous avons une armée, nous pouvons tenter de prendre la planète 'Gaea'. Tout d'abord, il faut que l'on déclare la guerre. Pour cela, ouvrez la fenêtre diplomatique est appuyé sur le bouton 'Déclaration de Guerre'. Puis déplacer votre armée sur la planète 'Gaea' pour débuter une bataille. À chaque tour, vous verrez le nombre de perte infligée de la couleur de l'adversaire et le nombre de perte subis de votre couleur. Lorsque vous aurez battue l'armée, la planète deviendra vôtre.;
TX_STEP12;Trading between 2 planets : <line> <line> Now as the planet is yours, you can do trades between your 2 planets. Open the 'Trade' window, click on 'Select a Planet', click on one of your planet, then click on 'New Trade', then on 'Planet B', then a second planet, make your offer and finally click on 'Send Offer'. <line> <line> Sorry for bad english and long post, here are 500 000 wealth potatoes.;Faire du Commerce entre Planète : <line> <line> Maintenant que la planète est à vous, vous pouvez faire du commerce entre vos 2 planètes. Pour cela, ouvrez la fenêtre 'Commerce', cliquer sur le bouton 'Sélectionnez une Planète', puis sur une de vos planètes, puis sur 'Nouvelle Offre', puis sur 'Planète B', puis cliquer sur une deuxième planète, puis formuler votre offre et enfin sur 'Envoyer l'Offre'.;
TX_NEXT;Next;Suivant;
TX_END;End of Tutorial;Fin du Didacticiel;
